db,energy,time
sqlite,37.29937744140625,3.0202622
sqlite,42.39263916015625,3.4224753
mysql,79.95111083984375,4.822397
sqlite,35.9527587890625,3.020741
mysql,124.16241455078125,5.2266946
sqlite,44.125244140625,3.624043
mysql,75.305419921875,4.6245785
sqlite,34.96539306640625,3.0191057
sqlite,37.247802734375,3.2222943
mysql,80.36151123046875,5.4242907
mysql,72.78924560546875,4.823428
mysql,73.6763916015625,5.427707
mysql,77.6192626953125,5.023127
sqlite,38.881591796875,3.6220965
sqlite,35.385986328125,3.2191808
mysql,75.234375,4.6265926
mysql,79.8104248046875,4.823847
sqlite,34.16961669921875,2.8183007
mysql,72.2606201171875,5.4254084
mysql,77.83953857421875,5.2251153
mysql,74.96746826171875,5.225583
mysql,74.16046142578125,5.022478
mysql,77.6495361328125,4.8233995
sqlite,36.56494140625,3.017286
sqlite,35.79876708984375,3.418875
sqlite,37.650390625,3.6229525
sqlite,43.45953369140625,3.4242365
sqlite,40.0654296875,2.8170362
mysql,71.1741943359375,4.8217382
sqlite,35.4395751953125,3.2202477
mysql,75.67462158203125,4.824563
sqlite,36.56103515625,3.2206674
mysql,73.96539306640625,5.023967
mysql,74.460205078125,4.824487
mysql,71.4691162109375,5.2213225
mysql,72.82769775390625,4.8222413
sqlite,41.06414794921875,3.0193353
mysql,73.36285400390625,4.824195
mysql,74.59942626953125,5.4272437
mysql,80.5574951171875,5.0178795
mysql,73.93463134765625,5.225397
mysql,73.464111328125,4.8223543
sqlite,41.22515869140625,3.2176294
sqlite,36.15850830078125,3.020231
mysql,73.554443359375,5.021971
mysql,75.52435302734375,4.8236957
sqlite,41.16961669921875,2.8221107
sqlite,37.23095703125,3.222354
sqlite,35.5433349609375,3.419792
sqlite,37.78863525390625,3.2215855
mysql,79.372802734375,5.0222754
mysql,76.96539306640625,4.618696
sqlite,35.41741943359375,3.2185235
sqlite,37.5343017578125,3.4221375
sqlite,39.843505859375,3.4200904
sqlite,41.9185791015625,2.820619
mysql,73.38299560546875,5.4240475
sqlite,35.1627197265625,3.4190557
sqlite,36.32733154296875,3.017509
sqlite,40.4398193359375,3.0212202
