Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740585060564,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,3.1468048095703125,3.2989120483398438,58.67343521118164,4.032676696777344,41.20444869995117,1.8438796997070313,10.671211242675781,6.548553466796875,34.333465576171875,20.114471435546875,27.740997314453125,3.7663116455078125,18148.830810546875,16234.367614746094,212169.65625,7335.5736083984375,16919126016,15032385536,6322384896,0
199,1740585060564,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,4.846260070800781,26.562583923339844,98.42884063720703,5.150535583496094,32.152381896972656,0.5853118896484375,27.583839416503906,34.08424377441406,64.26603698730469,37.536373138427734,76.49786376953125,6.188385009765625,18148.841369628906,16234.440673828125,212169.68139648438,7335.5736083984375,16919126016,15032385536,6323798016,0
200,1740585060765,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,1.2412567138671875,0.6299057006835938,25.14544677734375,6.311332702636719,13.476577758789063,0.48888397216796875,4.985992431640625,2.524200439453125,61.596405029296875,1.7121353149414063,10.242042541503906,2.9283523559570313,18148.988708496094,16235.614440917969,212169.94677734375,7335.5771484375,16919126016,15032385536,6334922752,0
199,1740585060965,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,0.7185287475585938,0.590545654296875,12.739761352539063,5.5747833251953125,12.060882568359375,0.5618667602539063,3.4621810913085938,2.4515228271484375,71.90321350097656,1.0915145874023438,9.837898254394531,1.502899169921875,18149.13055419922,16236.78955078125,212170.19763183594,7335.5771484375,16919126016,15032385536,6335262720,0
200,1740585061165,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,4.0414276123046875,0.5356369018554688,12.66180419921875,4.32086181640625,8.101028442382813,1.214111328125,8.215042114257813,1.5947189331054688,69.93257904052734,2.4505462646484375,25.408294677734375,7.852203369140625,18149.284118652344,16239.127258300781,212171.65399169922,7335.5771484375,16919126016,15032385536,6346473472,0
199,1740585061365,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,0,0,3.7877655029296875,0,67.9776611328125,0,0.6540374755859375,0.29412841796875,28.660667419433594,0,0.2695159912109375,0.51824951171875,18149.44940185547,16241.969909667969,212173.58740234375,7335.578369140625,16919126016,15032385536,6384119808,0
200,1740585061565,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,0.35649871826171875,24.38971710205078,1.1889190673828125,0.6186141967773438,100,0.17053985595703125,0.7139892578125,5.0927581787109375,0.4812164306640625,3.8568267822265625,1.8357315063476563,7.322319030761719,18149.60870361328,16245.574340820313,212176.23712158203,7335.578369140625,16919126016,15032385536,6422011904,0
200,1740585061766,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,1.0051116943359375,9.586669921875,1.7620010375976563,0.7998580932617188,100,0.2939300537109375,0.40262603759765625,2.701141357421875,1.8444442749023438,4.715858459472656,0.41320037841796875,7.2547149658203125,18149.77020263672,16248.819702148438,212178.51739501953,7335.579345703125,16919126016,15032385536,6460997632,0
200,1740585061966,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,0.5283279418945313,0.36487579345703125,1.4539260864257813,0.57177734375,100,0.44506072998046875,6.549156188964844,1.0760116577148438,0.6792831420898438,0.44545745849609375,1.9678726196289063,0.6034774780273438,18149.930908203125,16251.640625,212180.40753173828,7335.579345703125,16919126016,15032385536,6501343232,0
200,1740585062167,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,90.02186584472656,8.133552551269531,1.0650405883789063,0.6444168090820313,10.072998046875,90.00341796875,3.7883758544921875,1.3855438232421875,1.8078231811523438,0.7228775024414063,0.8409500122070313,0.863250732421875,18150.093017578125,16255.505615234375,212183.0809326172,7335.579345703125,16919126016,15032385536,6536998912,0
200,1740585062367,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,65.75257873535156,38.01752853393555,2.2311935424804688,1.1630096435546875,0.25742340087890625,78.81339263916016,14.585807800292969,5.016716003417969,0.6955718994140625,2.2291488647460938,1.900604248046875,0.5224380493164063,18150.262329101563,16259.865234375,212186.32080078125,7335.580261230469,16919126016,15032385536,6575828992,0
200,1740585062567,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,53.85511016845703,0.15966796875,1.6121597290039063,0.8782806396484375,46.48249053955078,48.5866813659668,0.9505767822265625,6.787078857421875,1.9903717041015625,0.6402740478515625,0.48504638671875,0.7158660888671875,18150.423278808594,16263.728881835938,212189.19091796875,7335.5809326171875,16919126016,15032385536,6615846912,0
200,1740585062768,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,0.31671905517578125,0.00489044189453125,1.2232589721679688,0.393280029296875,100,0.2092132568359375,0.5418548583984375,0.8718032836914063,0.30768585205078125,1.3140411376953125,1.7431106567382813,0.26696014404296875,18150.58319091797,16266.488586425781,212191.04650878906,7335.581787109375,16919126016,15032385536,6654713856,0
199,1740585062968,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,0.34267425537109375,0.02892303466796875,1.1990890502929688,0.28562164306640625,100,0.15847015380859375,0.6850509643554688,0.6980438232421875,0.26288604736328125,0.2230224609375,1.6982421875,0.33118438720703125,18150.744384765625,16269.084777832031,212192.70233154297,7335.600891113281,16919126016,15032385536,6693842944,0
200,1740585063168,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,0.8254013061523438,0.25487518310546875,1.6733627319335938,4.7239532470703125,100,0.6530227661132813,3.3917465209960938,4.161949157714844,2.3872756958007813,0.8572921752929688,1.448638916015625,0.615997314453125,18150.927368164063,16271.882263183594,212194.5762939453,7335.600891113281,16919126016,15032385536,6696587264,0
200,1740585063369,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,1.413604736328125,0,1.3002243041992188,7.6938934326171875,99.97454833984375,4.464500427246094,0.5501556396484375,14.024887084960938,0.30936431884765625,0.197174072265625,4.587211608886719,0.0789031982421875,18151.159606933594,16274.807434082031,212196.54388427734,7335.60546875,16919126016,15032385536,6587609088,0
5,1740585063570,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,0.147369384765625,0,1.2365493774414063,0.32177734375,79.23968505859375,0,0.0647430419921875,30.285720825195313,0.09616851806640625,0.10601043701171875,3.2405014038085938,0.242950439453125,18151.39697265625,16277.44384765625,212198.18774414063,7335.60546875,16919126016,15032385536,6328176640,0
